Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO_Code
Afghanistan,..,..,..,..,4.8,-2.6,-2,-2.1,-0.6,-0.4,-1.2,-2.5,-5.3,4
Albania,..,40.5,51.1,50.5,67.5,70.3,70.2,72.2,73.2,68.1,66.4,63.6,58.8,8
Algeria,78.4,45,28.3,7.3,-6.6,-4.5,-2.1,3,18,40,54.4,67.9,72.7,12
Angola,..,52.7,-14.8,1.9,19,15.5,13.9,17.1,21.1,27,27.3,29.7,24.8,24
Antigua and Barbuda,53.4,59.2,76.4,75.5,99.3,99.3,91.8,90.6,80.9,64.9,62.3,60.2,57.8,28
Argentina,32.4,27.9,34.5,34.9,25.3,26.5,30.6,33.2,34.4,40.4,37.9,38.9,..,32
Armenia,..,9.1,11.5,8.8,27.8,36.4,41.4,43.1,51.3,48.3,54.4,58.3,62.5,51
Australia,70.4,80.5,93.4,113.3,153.8,151.2,149.9,155.3,164.4,175.7,182.5,176.2,176.8,36
Austria,..,..,..,126,135.1,132.1,135.3,130.4,125.4,123.5,128.8,125.1,123.9,40
Azerbaijan,..,12.5,9.6,11.2,23,19.2,24.4,23.1,27.3,40.7,28.1,12.4,13.2,31
Bahamas,58.5,74.8,52.7,59.5,82.5,83.6,79.8,83.1,79.7,74.9,75.6,85.5,..,44
Bahrain,-1,28.4,33.9,41.8,67.1,72.2,72.2,79.2,76.2,90.9,..,..,..,48
Bangladesh,21.6,26.7,30.2,47.7,57.4,61.3,60,57.9,60,60.2,61.4,63.7,64.1,50
Barbados,51.1,54.5,58.2,92.2,..,..,..,..,..,..,..,..,..,52
Belarus,..,15,19.2,21.8,42.6,30.8,31,37.9,41.3,49.8,47,41.7,40.7,112
Belgium,..,..,..,100.8,113.7,114,113.2,112.1,154.5,147.7,153,135,136.8,56
Belize,26.8,43.7,43.5,61.5,69.6,65.1,63.6,58.9,57.9,66.6,70.7,71,71.4,84
Benin,21.1,10.9,7.4,10.1,18.6,21.8,20,21,22.8,22.9,26.4,28.4,27,204
Bhutan,-1,9.9,2.9,21.8,45.6,50.5,52.5,49.8,46.9,51.8,53.3,59.6,64,64
Bolivia (Plurinational State of),23,48.7,62,71.3,49.4,48.5,48.7,50.1,55.2,67.1,76.3,78.5,83.6,68
Bosnia and Herzegovina,..,..,37.4,38.9,61.4,62.4,64.8,65.1,65.2,63.9,62.8,62.4,62,70
Botswana,-45.6,-35.8,-65.7,-5.5,10.9,8,15,12.9,8.3,12.4,16.1,17.1,19.8,72
Brazil,87.6,56.1,70.7,76.2,93.4,95.2,101.1,100,103.4,107.1,111.2,111.4,113.7,76
Brunei Darussalam,..,..,38.6,10.4,22.7,7.2,12,18.4,25.5,40,35.5,28.6,28.4,96
Bulgaria,..,47.8,17.1,39.3,67,66.7,67.3,69.8,62.4,60.3,54.3,54,54.3,100
Burkina Faso,12.2,5.6,14.3,16.5,18.4,18.6,20.4,26,30.7,33.1,32,34.1,34,854
Burundi,16.8,16,21.6,23.4,26.6,29.6,28.8,27.2,29.4,30.5,35.7,36.2,43,108
Cabo Verde,41.6,59.4,64.7,72.3,76.1,82.1,83.2,84.1,85.2,84.5,83.7,85.8,82.6,132
Cambodia,..,5.3,6.4,7.2,22.7,24.2,33.8,46.8,55.7,65.1,71.1,74.4,85.7,116
Cameroon,30.9,15.8,13.3,12.7,9.3,12.1,13.1,14.2,14.9,13.9,18.4,16.6,19.3,120
Canada,100.6,111,111.1,196.5,..,..,..,..,..,..,..,..,..,124
Central African Republic,13.2,11.4,12,17.7,21,22.9,22.9,33.1,30.4,30.6,29,25.3,28.1,140
Chad,11.5,9.9,12.3,6.4,7.6,6.1,5.5,7.3,11,17.7,24.8,25.2,22.5,148
Chile,66.9,53.5,71.3,80.4,104.5,108.9,112.5,115.3,119.3,120.7,126.1,127.8,131.8,152
China,88.4,86.9,118.4,132.6,142.5,141,149.6,156.3,167.9,194.3,216.2,216.9,218.3,156
Colombia,30.7,37.2,30.4,50,66.2,65.3,69.4,69.5,70.4,52.4,53.2,56.3,55.5,170
Comoros,12,9.8,8.2,6.6,13,12.7,12.7,14.4,15.9,14.7,18.8,18.3,17.9,174
Congo,29.1,17.3,8.7,1.1,-14.3,-16.1,-8.9,-7.2,0.8,21.5,33.7,36.3,28.8,178
Costa Rica,30.8,16.3,34.6,46.7,55.2,58.8,60.1,65.5,70.5,74.3,78.9,81.8,82.7,188
Croatia,..,41,40,62.9,90.4,88.7,97.7,89.5,89.4,87.3,84.4,76.5,75.2,191
Cyprus,..,..,..,198.7,286.5,298.8,316.6,306.1,306,308.4,260.9,235.9,176.4,196
Czechia,..,66.1,45.5,41.6,62.7,68.2,68.4,69.3,72.5,68.9,66.8,62.1,63.1,203
Denmark,60.8,52.6,141.2,184.9,234.1,237.8,230.5,214.6,218.1,213.6,211.5,197.3,200.6,208
Djibouti,40.6,51.5,36.1,24.5,35.7,34.1,35.4,37,36.1,35.8,34.6,35,37.2,262
Dominica,49.2,59.3,61.6,52.7,51.1,55.9,61.6,63.7,60.1,51.3,34,36.7,55.5,212
Dominican Republic,31.5,19.8,31.5,29.8,39.6,38.8,41.4,42.4,44.1,48.3,50.9,51.9,50.3,214
Ecuador,10.5,20.8,30.6,19.1,24,25,27.9,29.4,31.4,31.5,35.6,37.7,39.8,218
Egypt,100.1,75.3,89,98,69.4,74.6,73.1,81.2,87.1,95.3,119.6,99,91.8,818
El Salvador,24,43.1,58.8,68.1,75.8,75.5,73.7,79.5,81.7,85.8,87.9,88.9,88.9,222
Equatorial Guinea,36.8,29.4,4.7,-21.5,1.1,-2.8,-2.7,-2.5,3.3,12,21.1,21.5,20.8,226
Eritrea,..,50.1,150.5,125.7,114.4,104,..,..,..,..,..,..,..,232
Estonia,..,..,..,68,96.5,82.5,75.3,71.1,70.1,75.8,78.9,72.9,71.3,233
Ethiopia,39.2,30.1,48.6,49.5,..,..,..,..,..,..,..,..,..,231
Fiji,38.5,45.8,37.9,111.6,132.3,115.6,114.6,112,105.5,111.4,114.8,116.2,..,242
Finland,..,..,..,91.3,152.2,189.4,165.4,142.1,164.4,156.7,154.4,120.6,137.7,246
France,..,..,..,106.1,143.8,145.9,147.7,143.8,146.8,147.4,154.8,157.4,160,250
Gabon,20,18.3,12.5,9.7,10.5,11.5,14.1,12.9,13.8,16.9,23.2,18.4,23.1,266
Gambia,3.4,3.7,7.4,19.6,39,43.8,44.2,32.7,36.3,..,..,38.1,37.6,270
Georgia,..,8.1,21.5,21.6,35.5,36.7,38.4,46.4,52.5,57.5,65.4,65.6,71.9,268
Germany,..,..,..,132.6,164.8,162,156.9,136.9,139.5,134.1,133.1,128,125.9,276
Ghana,17.5,18.9,39.3,30.8,28.4,27.5,31.3,26.4,27.9,27.2,26.7,24.5,..,288
Greece,..,..,..,106.7,147.6,156,139.1,137.1,137.8,134.5,124.4,115.1,91.9,300
Grenada,46.7,53.9,72.4,61.4,92.8,95.7,91.2,79.4,68.4,56.9,53.3,48.8,45.4,308
Guatemala,25.9,30,25.9,34.4,36.5,36.8,39.1,40.6,41.8,42.8,41.9,40.5,41.1,320
Guinea,..,7.7,8.9,17.7,25.8,24.1,16,18.1,21.5,26.1,23.1,..,..,324
Guinea-Bissau,77.5,3.1,10.6,7.2,10.2,12,21.2,18.3,22.7,24.4,24,20.9,21.4,624
Guyana,265.9,166.3,100.5,98.9,48.7,51,50.4,55.3,60.8,63.9,61.6,62.2,68.9,328
Haiti,31.6,25.3,34.3,34.3,21.3,18.1,21,26.2,28.9,32.2,31.6,32.9,34,332
Honduras,25.3,19.2,23.5,38.4,49.6,51.4,55.3,56.8,57.5,55.8,60.5,59.9,64.1,340
Hungary,..,79.3,54.2,61.4,80.3,76.8,68.2,65.1,60.5,58.2,57.8,58.2,55.4,348
Iceland,48.6,51.6,94.8,234.8,244.3,178.7,150.8,135.2,111.3,104.4,95.5,97.8,96.7,352
India,50.8,43.6,52.1,59.3,73.4,76.1,77.2,77.9,75.9,75.6,74.5,72.1,..,356
Indonesia,50.3,51.8,60.7,46.2,34.2,36.5,40.8,43.4,43.4,46.8,48,47,47.2,360
Iran (Islamic Republic of),59.9,37.7,40.6,42.4,54.2,55,60.5,52.1,56.5,68.5,77.6,..,..,364
Iraq,..,..,..,-1,-1.2,-0.5,-1.9,-1.4,0.3,8.8,18.8,17.9,7,368
Ireland,..,..,..,152.7,235.9,228.5,205.1,192.3,160.3,107,99.7,84.8,73.5,372
Israel,94.6,72.8,72.2,86.6,88.9,89.8,85.9,84.1,84.4,82,80.7,79.1,80.3,376
Italy,..,..,..,104.7,160.5,164.1,177.4,172.7,172.1,169.7,169.8,165.2,162.9,380
Jamaica,45.8,27.1,46.3,56.1,51.1,49.6,51.8,51.7,52.5,49.8,53.6,..,..,388
Japan,253,277.4,295,296.7,313.8,322.3,329.7,338.6,346.5,342.7,348.6,..,..,392
Jordan,106.3,82.8,78.7,109.7,99.6,106.5,114.3,111.7,107.4,106,108.2,109.2,..,400
Kazakhstan,..,9.5,12.3,39,45.4,39.3,40.2,38.3,36.1,45.7,43.3,34.3,38.2,398
