Country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,Info,ISO_Code
Afghanistan,1756,1167,1699,2353,2275,2472,2509,2466,2432,2396,2386,2355, a,4
Albania,5338,7219,9769,12176,12702,12176,12898,13135,13010,13794,14150,14727, a,8
Algeria,15808,17133,20250,22062,21790,21570,21541,22101,22403,23284,23024,22980, a,12
Angola,3294,3567,5214,6734,6710,7093,7280,7495,7439,6986,6865,6407, a,24
Argentina,18633,20200,19390,24678,26077,25542,26002,25138,25457,24394,24541,23418, a,32
Armenia,2827,4409,7955,10150,9770,10473,11078,11237,11380,11269,12294,12582, a,51
Australia,38073,43798,47018,48252,48483,49952,50665,51038,51717,52003,51990,52363, a,36
Austria,44339,53739,56866,54650,59600,59312,58844,54456,57604,58366,59314,60303, a,40
Azerbaijan,4274,5468,9993,20475,19859,20938,21935,21693,21519,20555,20777,20655, a,31
Bahamas,38462,39123,39213,35026,34833,35755,35255,34615,34828,33737,33805,34290, a,44
Bahrain,60104,61366,54223,43083,41039,48346,50429,49056,56296,55185,54954,52952, a,48
Bangladesh,2471,2790,3291,4174,4364,4592,4604,4740,4956,5186,5334,5700, a,50
Barbados,15902,18269,18535,18592,17989,18508,18140,17866,18018,18391,18445,18292, a,52
Belarus,6678,9079,13600,19578,20934,21155,21070,21260,20184,19369,20019,20616, a,112
Belgium,44538,49766,51700,52542,51819,52332,51036,50839,50269,51165,52394,52926, a,56
Belize,8912,9481,9865,9421,9678,8973,8886,8970,9349,8768,8519,8618, a,84
Benin,1930,2058,2059,2025,2065,2089,2177,2251,2229,2261,2319,2407, a,204
Bhutan,3179,4324,5522,7699,8185,8076,8736,9282,9665,10147,10420,10579, a,64
Bolivia (Plurinational State of),5157,5491,5664,6647,6755,6996,7311,7559,7988,8246,8511,8780, a,68
Bosnia and Herzegovina,2151,9502,11825,13273,12923,13573,14227,14579,15273,15998,16484,17122, a,70
Botswana,11622,12424,13702,14605,15924,16479,17250,17803,17356,17255,17499,17853, a,72
Brazil,14446,14427,14269,17604,17529,17370,19095,18327,16348,17747,17704,17827, a,76
Brunei Darussalam,117078,107442,107031,99508,93647,93123,91024,88147,89831,88186,87388,86072, a;b,96
Bulgaria,9909,10784,15067,18171,18335,18883,18821,19633,20312,21620,22954,23904, a,100
Burkina Faso,1087,1331,1621,1728,1758,1843,1888,1876,1883,1927,1996,2077, a,854
Burundi,901,818,765,790,621,630,641,644,602,579,563,555, a,108
Cabo Verde,3370,5081,5948,6873,7063,6955,6937,6728,6746,6976,7170,7497, a,132
Cambodia,1258,1267,2229,2782,3032,3032,3272,3410,3543,3687,3882,4089, a,116
Cameroon,2659,2859,3194,3350,3393,3432,3505,3650,3730,3786,3807,3858, a,120
Canada,40410,46742,49306,48524,49346,49690,50300,51315,51372,51248,52118,52218, a,124
Central African Republic,1084,1030,1024,1182,1225,1284,821,820,853,882,909,935, a,140
Chad,1285,1217,1884,2237,2182,2297,2289,2371,2401,2203,2081,2056, a,148
Chile,17485,20144,22000,24410,25678,27122,28063,28391,28793,28836,28229,28932, a,152
China,3044,4406,6879,11299,12262,13261,14147,15257,16162,17171,18273,19410, a,156
Colombia,11703,10707,12007,12986,13627,14082,14571,15538,15758,15921,15760,15657, a,170
Comoros,3211,3285,3161,3089,3125,3146,3202,3183,3150,3139,3142,3030, a,174
Congo,4737,4202,3499,4624,4547,5424,5849,6800,8728,7735,6929,6621, a,178
Costa Rica,12667,13045,13448,16047,16285,16624,16711,17275,17470,18558,18842,19016, a,188
Croatia,16749,18571,23426,23754,24116,23456,23425,23290,24358,24827,26278,26959, a,191
Cuba,4722,5797,7216,8879,9180,9491,9743,9813,10247,10305,10499,10625, a,192
Cyprus,32442,35189,40847,39767,39643,36860,34159,34002,35887,36389,37475,38403, a,196
Czechia,24597,26616,31667,33980,33881,33927,33594,34241,35826,36518,38050,39326, a,203
Denmark,45777,50660,54718,52610,52867,52714,53261,54361,55135,55438,56153,56731, a,208
Djibouti,2725,2492,2740,3010,3052,3134,3345,3561,3817,4050,4068,4232, a,262
Dominican Republic,9251,11353,11931,14689,14500,14532,15026,16041,16692,17453,17888,18975, a,214
Ecuador,10224,9371,11072,12169,12949,13381,13894,14312,13798,13090,13067,12960, a,218
Egypt,10125,12436,13235,15901,14805,14784,15163,15238,15634,16322,16571,16989, a,818
El Salvador,7493,7512,7707,7613,7853,8032,7715,8109,8341,8514,8772,8943, a,222
Equatorial Guinea,2472,11836,26841,26840,27622,29450,28501,27956,28745,26204,23826,21808, a,226
Eritrea,2829,3073,2744,2292,2460,1855,1905,1920,1927,1918,1967,2011, a,232
Estonia,14659,19065,27156,27247,29544,31386,32793,33880,34511,35675,37407,38653, a,233
Ethiopia,729,768,971,1358,1470,1551,1667,1781,1904,2025,2148,2231, a,231
Fiji,8879,9930,10346,9227,9344,9461,10116,10574,11239,11632,11910,12293, a,242
Finland,32714,42248,47349,46943,48471,46213,46579,46090,45805,47300,47963,48689, a,246
France,39595,45355,46698,45301,46214,45569,45470,45946,46281,46549,47845,48507, a,250
Gabon,26605,21959,21882,18179,17908,19384,19987,21716,20892,20918,20765,20182, a,266
Gambia,1783,1832,1790,2236,2065,2116,2173,2083,2133,2086,2115,2190, a,270
Georgia,3164,5052,7772,9497,10212,11134,11233,11893,11804,11848,12353,12929, a,268
Germany,44371,47371,48480,50289,53275,53339,52865,53543,53863,54229,55143,55652, a,276
Ghana,2333,2495,2894,3430,3772,3953,4297,4289,4454,4478,4696,4889, a,288
Greece,30675,34008,37352,35179,31705,30408,29416,29548,29390,29334,29977,30262, a,300
Guatemala,8178,8463,8543,9023,9415,8857,9292,9457,9537,9742,9838,9970, a,320
Guinea,1700,1822,1780,1853,1903,1985,2026,2092,2120,2306,2564,2569, a,324
Guinea-Bissau,2004,1714,1677,1708,1814,1735,1701,1766,1804,1871,1882,1895, a,624
Guyana,5030,6453,6908,8337,8664,9045,9292,9548,9779,10118,10286,10532, a,328
Haiti,2119,2152,1880,1794,1861,1887,1923,1951,1945,1951,1949,1949, a,332
Honduras,4398,4584,4474,4632,4833,4973,4867,4790,5011,5052,5172,5304, a,340
Hungary,19203,21794,25693,26161,26794,26856,27752,28366,29658,31311,32248,33905, a,348
Iceland,34440,40256,46357,38534,40690,42109,47152,47610,49228,52618,54760,55827, a,352
India,3353,4101,5114,6819,7169,7517,7886,8367,8919,9533,10097,10713, a,356
Indonesia,8036,7640,9184,11081,11520,11985,12539,13008,13178,13792,14219,14788, a,360
Iran (Islamic Republic of),22033,22832,26040,30513,31109,28751,28436,29356,28192,31049,31783,30250, a,364
Iraq,12035,21929,19632,23240,23913,26423,26915,26238,25918,28571,27273,26746, a,368
Ireland,33094,45279,51986,44135,44174,43727,45852,49768,55416,61247,63257,66587, a,372
Israel,30547,31652,32686,37548,38828,38207,38796,40155,39966,41225,41806,42791, a,376
Italy,46924,51173,51698,46958,46929,45123,44231,43777,44170,44905,45692,46357, a,380
Jamaica,9919,9731,10015,9448,9557,9627,9468,9481,9411,9319,9487,9559, a,388
Japan,44179,46452,48913,50121,49943,50537,51540,51526,52208,51927,52861,53387, a,392
Jordan,11220,12518,15339,15545,15089,14655,14465,14231,14017,13669,13661,13668, a,400
Kazakhstan,10593,12953,20216,22738,22846,23813,26107,27595,29502,28090,28026,28198, a,398
Kenya,2452,2423,2643,2840,2938,2969,3032,3093,3189,3300,3358,3490, a,404
Kuwait,128822,109089,134480,103636,106042,108030,102898,98957,93316,93274,89521,85615, a;b,414
Kyrgyzstan,2063,2454,2930,3453,3460,3686,3957,4074,4097,4171,4300,4465, a,417
Lao People's Democratic Republic,2340,2765,3500,4802,5052,5433,5811,6211,6557,6902,7190,7595, a,418
Latvia,10725,14333,22157,22040,23796,24838,25919,26767,27715,28332,29822,31520, a,428
Lebanon,16797,17650,16986,22475,21733,20987,20174,19282,18575,18216,18330,17529, a,422
Lesotho,2397,2465,2980,3649,3657,3747,3754,3736,3840,3990,3841,3864, a,426
Liberia,318,1426,1057,1032,1106,1116,1177,1152,1134,1085,1075,1030, a,430
