Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO_Code
Australia,56.8,54.5,53.2,53.3,53.6,53.4,54.1,54.5,52.6,52.2,52,36
Austria,56,53.3,54.6,54,54.5,55,55,54.6,54.7,54.3,54.3,40
Azerbaijan,..,..,..,..,..,18.6,19.3,22.1,..,..,..,31
Belgium,60,58.7,59.9,60.3,61.2,61.7,61.4,60.3,59.4,59.4,59.7,56
Bulgaria,49.7,46.7,49.9,48.2,49.9,54.1,56.1,56.2,56.3,59,58.2,100
Canada,55.9,54,55.6,54.8,55.6,55.6,54.9,56.6,55.5,54.7,55.3,124
Chile,..,..,..,37.2,..,44.7,..,..,..,..,..,152
Colombia,..,..,33.4,31.7,32.4,32.7,32.9,34.1,33.5,..,..,170
Croatia,67.2,63,62,61,59.5,57.2,55.7,55.3,54.3,52.8,52.7,191
Cyprus,51.7,55,54.6,54.5,54.3,52,50.7,50.4,50,49.5,48.9,196
Czechia,45,46.9,47.8,48.1,48.8,48.4,47.4,46.5,47.3,48.3,50.7,203
Denmark,53.9,54.3,56.4,56,55.2,55.1,54.9,55.1,55,54.8,55.9,208
Estonia,49.5,47.5,51.7,49.1,49.9,50.2,50.9,52.5,53.3,53.7,54.4,233
Finland,53.1,53.3,56.1,55.9,57.1,56.4,56.1,55.6,54.9,52.9,52.7,246
France,55.9,56.2,57.5,57.5,58.1,58.4,58.5,58,58.1,58.1,58.3,250
Germany,58.8,56.1,55.8,55.6,56.5,56.5,56.3,56.2,56.2,56.4,56.9,276
Greece,49.5,53.9,54.3,53.1,52.2,49.8,49.8,49.4,49.3,49.3,49.6,300
Guinea,..,..,14.9,..,..,..,..,..,..,..,..,324
Hungary,52.6,52.8,49.4,49.1,49.2,48.2,47.2,45.2,47.1,47.2,48.2,348
Iceland,59.9,59.1,49.5,51.7,52.5,53.5,53.7,53.7,55.2,57.9,58.3,352
Iraq,..,..,25.6,21.1,23.4,25.7,26.9,34.3,37.7,..,..,368
Ireland,47.2,46.5,50.1,48.3,47.4,47.3,45,35.6,36.2,34.9,34.3,372
Italy,51.1,52.1,54.1,53.6,53.7,53.4,53,52.9,52.7,52.2,52.8,380
Japan,62.4,58.8,58.5,59.7,59.1,58.3,57.9,56.5,57.2,57.1,57.9,392
Kuwait,..,..,28.2,24.9,24.2,25.7,28.7,39.8,41.4,..,..,414
Latvia,48.7,45.6,48.6,44.7,45.3,46.9,48.5,51.4,53.4,53.4,53.6,428
Lithuania,48.6,49.1,45.9,44,43.8,44.6,45.5,47.7,50,49.8,50.6,440
Luxembourg,49.7,52.2,52.7,51.5,52.5,51.9,51.4,51.8,52.1,53.7,53.4,442
Malaysia,..,..,..,..,..,33.6,..,34.8,..,..,..,458
Malta,49.2,49.3,49.3,50.6,51.2,50.9,48.9,47.3,47.3,46.5,45.9,470
